운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,위도,경도
파킹클라우드,부산 동트레아파트,1,AC완속,부산광역시,수영구,부산광역시 수영구 무학로9번길 15-1,거주자외 출입제한,35.1625296741165,129.114706008742
파킹클라우드,부산 동트레아파트,2,AC완속,부산광역시,수영구,부산광역시 수영구 무학로9번길 15-1,거주자외 출입제한,35.1625296741165,129.114706008742
제주전기자동차서비스,경보이리스오션더스타2차B1,1,DC차데모+AC3상+DC콤보,부산광역시,중구,부산광역시 중구 대교로 133경보이리스오션더스타2차 B1,시설 상황에 따라 이용이 제한될 수 있음,35.1019447696819,129.037408230096
제주전기자동차서비스,금정산SKTVIEW 아파트 101동 A주차장 62번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64101동 A주차장 62번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 102동 A주차장 29번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64102동 A주차장 29번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 103동 A주차장 04번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64103동 A주차장 04번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 104동 D주차장 58번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64104동 D주차장 58번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 106동 D주차장 20번 기둥 A,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64106동 D주차장 20번 기둥 A,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 106동 D주차장 20번 기둥 B,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64106동 D주차장 20번 기둥 B,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 107동 E주차장 43번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64107동 E주차장 43번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 108동 E주차장 18번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64108동 E주차장 18번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 109동 G주차장 30번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64109동 G주차장 30번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 110동 G주차장 01번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64110동 G주차장 01번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 111동 H주차장 62번 기둥 A,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64111동 H주차장 62번 기둥 A,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 111동 H주차장 62번 기둥 B,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64111동 H주차장 62번 기둥 B,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 113동 H주차장 03번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64113동 H주차장 03번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 114동 H주차장 37번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64114동 H주차장 37번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산SKTVIEW 아파트 115동 H 주차장 37번 기둥,1,AC완속,부산광역시,금정구,부산광역시 금정구 식물원로 64115동 H 주차장 37번 기둥,거주자외 출입제한,35.2273967578132,129.079320949616
제주전기자동차서비스,금정산한신아파트,1,AC완속,부산광역시,금정구,부산광역시 금정구 소정로 39,거주자외 출입제한,35.2282227490127,129.079714337557
제주전기자동차서비스,부곡대우아파트,1,AC완속,부산광역시,금정구,부산광역시 금정구 부산대학로 10,거주자외 출입제한,35.2330659140749,129.08997847798
제주전기자동차서비스,부곡대우아파트,2,AC완속,부산광역시,금정구,부산광역시 금정구 부산대학로 10,거주자외 출입제한,35.2330659140749,129.08997847798
제주전기자동차서비스,부곡대우아파트,3,AC완속,부산광역시,금정구,부산광역시 금정구 부산대학로 10,거주자외 출입제한,35.2330659140749,129.08997847798
제주전기자동차서비스,사직삼정그린코아2차아파트,1,AC완속,부산광역시,동래구,부산광역시 동래구 쇠미로81번길 22,거주자외 출입제한,35.2030419104726,129.054485632848
제주전기자동차서비스,사직삼정그린코아2차아파트,2,AC완속,부산광역시,동래구,부산광역시 동래구 쇠미로81번길 22,거주자외 출입제한,35.2030419104726,129.054485632848
제주전기자동차서비스,사직삼정그린코아2차아파트,3,AC완속,부산광역시,동래구,부산광역시 동래구 쇠미로81번길 22,거주자외 출입제한,35.2030419104726,129.054485632848
제주전기자동차서비스,사직삼정그린코아2차아파트,4,AC완속,부산광역시,동래구,부산광역시 동래구 쇠미로81번길 22,거주자외 출입제한,35.2030419104726,129.054485632848
제주전기자동차서비스,사직삼정그린코아2차아파트,5,AC완속,부산광역시,동래구,부산광역시 동래구 쇠미로81번길 22,거주자외 출입제한,35.2030419104726,129.054485632848
제주전기자동차서비스,수영역 디온플레이스어반 오피스텔,1,DC차데모+AC3상+DC콤보,부산광역시,수영구,부산광역시 수영구 수영로 712,입주민 및 방문자 전용,35.1677854821964,129.117442581983
제주전기자동차서비스,영도유림노르웨이숲비치아파트,1,AC완속,부산광역시,영도구,부산광역시 영도구 태종로 705,거주자외 출입제한,35.0719274624072,129.076476750051
제주전기자동차서비스,정관신도시롯데캐슬 106동지하 2층,1,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 106동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 106동지하 2층,2,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 106동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 1층,1,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하 1층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 1층,2,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하 1층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 1층,3,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하 1층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 2층,1,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 2층,2,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 108동지하 2층,3,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 108동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 110동지하 2층,1,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 110동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 110동지하 2층,2,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 110동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,정관신도시롯데캐슬 110동지하 2층,3,AC완속,부산광역시,기장군,부산광역시 기장군 정관읍 정관3로 52 110동 지하2층,거주자외 출입제한,35.3287252037714,129.170203180461
제주전기자동차서비스,해운대KCC스위첸아파트,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,5,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,6,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,7,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대KCC스위첸아파트,8,AC완속,부산광역시,해운대구,부산광역시 해운대구 세실로 80,거주자외 출입제한,35.1729422814449,129.177995097134
제주전기자동차서비스,해운대대림1차아파트,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,5,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,6,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,7,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,8,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,9,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대대림1차아파트,10,AC완속,부산광역시,해운대구,부산광역시 해운대구 대천로103번길 47,거주자외 출입제한,35.1793143508119,129.174046968666
제주전기자동차서비스,해운대센트럴파크아파트,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118,거주자외 출입제한,35.1757077373221,129.170676568788
제주전기자동차서비스,해운대센트럴파크아파트,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118,거주자외 출입제한,35.1757077373221,129.170676568788
제주전기자동차서비스,해운대센트럴파크아파트,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118,거주자외 출입제한,35.1757077373221,129.170676568788
제주전기자동차서비스,해운대센트럴파크아파트,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118,거주자외 출입제한,35.1757077373221,129.170676568788
제주전기자동차서비스,해운대자이1차아파트 1단지 지하1층 주차장 104동 46번 기둥,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B1 104동 46번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 1단지 지하1층 주차장 104동 46번 기둥,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B1 104동 46번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 1단지 지하1층 주차장 109동 49번 기둥,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B1 109동 49번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 1단지 지하1층 주차장 109동 49번 기둥,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B1 109동 49번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 1단지 지하2층 주차장 109동 42번 기둥,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B2 109동 42번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 1단지 지하2층 주차장 109동 42번 기둥,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4351단지 B2 109동 42번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
제주전기자동차서비스,해운대자이1차아파트 2단지 B1 201동 17번 기둥,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대로 4352단지 지하1층 주차장 201동 17번 기둥,거주자외 출입제한,35.1649477336891,129.142949406674
한국전력,Green Pole(경남공고옆),2,AC완속,부산광역시,부산진구,부산광역시 부산진구 전포대로 189번경남공고옆 도로 전주부착형 충전소,시설 상황에 따라 이용이 제한될 수 있음,35.1535782166879,129.065055616019
한국전력,가아KT-e편한세상,1,AC완속,부산광역시,부산진구,부산광역시 부산진구 가야동 가야대로 569 ,시설 상황에 따라 이용이 제한될 수 있음,35.1546474591687,129.033762382888
한국전력,가아KT-e편한세상,2,AC완속,부산광역시,부산진구,부산광역시 부산진구 가야동 가야대로 569 ,시설 상황에 따라 이용이 제한될 수 있음,35.1546474591687,129.033762382888
한국전력,거제2차현대홈타운,1,DC차데모+AC3상+DC콤보,부산광역시,연제구,부산광역시 연제구 거제동 1479,입주자외 출입제한 (긴급상황 이용가능),35.1926043501655,129.06918808382
한국전력,거제동월드메르디앙 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,연제구,부산광역시 연제구 거제동 거제천로 233,시설 상황에 따라 이용이 제한될 수 있음,35.1923989429261,129.082988250779
한국전력,거제동월드메르디앙 아파트,2,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 거제천로 233,시설 상황에 따라 이용이 제한될 수 있음,35.1923989429261,129.082988250779
한국전력,거제동월드메르디앙 아파트,3,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 거제천로 233,시설 상황에 따라 이용이 제한될 수 있음,35.1923989429261,129.082988250779
한국전력,거제동일동미라주리버 아파트,1,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 세병로 74 ,시설 상황에 따라 이용이 제한될 수 있음,35.1955833313918,129.08303630665
한국전력,거제동일동미라주리버 아파트,2,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 세병로 74 ,시설 상황에 따라 이용이 제한될 수 있음,35.1955833313918,129.08303630665
한국전력,거제동푸르지오,1,DC차데모+AC3상+DC콤보,부산광역시,연제구,부산광역시 연제구 거제동 1506,입주자외 출입제한 (긴급상황 이용가능),35.1876920241615,129.071371633165
한국전력,거제동푸르지오,2,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 1506,입주자외 출입제한 (긴급상황 이용가능),35.1876920241615,129.071371633165
한국전력,거제동푸르지오,3,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 1506,입주자외 출입제한 (긴급상황 이용가능),35.1876920241615,129.071371633165
한국전력,거제삼정그린코아,1,DC차데모+AC3상+DC콤보,부산광역시,연제구,부산광역시 연제구 거제동 1272,입주자외 출입제한 (긴급상황 이용가능),35.1887076479005,129.063005811761
한국전력,거제삼정그린코아,2,AC완속,부산광역시,연제구,부산광역시 연제구 거제동 1272,입주자외 출입제한 (긴급상황 이용가능),35.1887076479005,129.063005811761
한국전력,경남아너스빌아파트,1,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,경남아너스빌아파트,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,경남아너스빌아파트,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,경남아너스빌아파트,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,경남아너스빌아파트,5,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,경남아너스빌아파트,6,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동 1375,입주자외 출입제한 (긴급상황 이용가능),35.1775507337421,129.167266789777
한국전력,고촌LH 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,기장군,부산광역시 기장군 철마면 고촌로 11 ,시설 상황에 따라 이용이 제한될 수 있음,35.2371621692343,129.169975016589
한국전력,괴정신익타운 아파트,1,AC완속,부산광역시,사하구,부산광역시 사하구 오작로 46,시설 상황에 따라 이용이 제한될 수 있음,35.0983463168606,128.998770179928
한국전력,괴정신익타운 아파트,2,AC완속,부산광역시,사하구,부산광역시 사하구 오작로 46,시설 상황에 따라 이용이 제한될 수 있음,35.0983463168606,128.998770179928
한국전력,구서SKVIEW1단지,1,DC차데모+AC3상+DC콤보,부산광역시,금정구,부산광역시 금정구 금샘로246번길 18,시설 상황에 따라 이용이 제한될 수 있음,35.2438418119491,129.085571678272
한국전력,구서동쌍용예가1단지 아파트,1,AC완속,부산광역시,금정구,부산광역시 금정구 구서동 금샘로 261 ,시설 상황에 따라 이용이 제한될 수 있음,35.245825554718,129.085082590794
한국전력,구서동쌍용예가1단지 아파트,2,AC완속,부산광역시,금정구,부산광역시 금정구 구서동 금샘로 261 ,시설 상황에 따라 이용이 제한될 수 있음,35.245825554718,129.085082590794
한국전력,구서유림노르웨이아침 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,금정구,부산광역시 금정구 구서동 중앙대로 1799 ,시설 상황에 따라 이용이 제한될 수 있음,35.2449047608091,129.092759502825
한국전력,구서유림노르웨이아침 아파트,2,AC완속,부산광역시,금정구,부산광역시 금정구 구서동 중앙대로 1799 ,시설 상황에 따라 이용이 제한될 수 있음,35.2449047608091,129.092759502825
한국전력,구평한신휴플러스,1,DC차데모+AC3상+DC콤보,부산광역시,사하구,부산광역시 사하구 구평동 을숙도대로709번길 22,시설 상황에 따라 이용이 제한될 수 있음,35.0863643373042,128.984974407607
한국전력,구평한신휴플러스,2,AC완속,부산광역시,사하구,부산광역시 사하구 구평동 을숙도대로709번길 22,시설 상황에 따라 이용이 제한될 수 있음,35.0863643373042,128.984974407607
한국전력,구평한신휴플러스,3,AC완속,부산광역시,사하구,부산광역시 사하구 구평동 을숙도대로709번길 22,시설 상황에 따라 이용이 제한될 수 있음,35.0863643373042,128.984974407607
한국전력,구포대우아파트,1,AC완속,부산광역시,북구,부산광역시 북구 구포동 849-1,입주자외 출입제한 (긴급상황 이용가능),35.1985337643839,129.0105157346
한국전력,구포대우아파트,2,AC완속,부산광역시,북구,부산광역시 북구 구포동 849-1,입주자외 출입제한 (긴급상황 이용가능),35.1985337643839,129.0105157346
한국전력,구포대우아파트,3,AC완속,부산광역시,북구,부산광역시 북구 구포동 849-1,입주자외 출입제한 (긴급상황 이용가능),35.1985337643839,129.0105157346
한국전력,구포유림노르웨이숲,1,DC차데모+AC3상+DC콤보,부산광역시,북구,부산광역시 북구 구포동 낙동북로 737 ,시설 상황에 따라 이용이 제한될 수 있음,35.1961752229541,129.002949307881
한국전력,구포유림노르웨이숲,2,AC완속,부산광역시,북구,부산광역시 북구 구포동 낙동북로 737 ,시설 상황에 따라 이용이 제한될 수 있음,35.1961752229541,129.002949307881
한국전력,구포유림노르웨이숲,3,AC완속,부산광역시,북구,부산광역시 북구 구포동 낙동북로 737 ,시설 상황에 따라 이용이 제한될 수 있음,35.1961752229541,129.002949307881
한국전력,구포유림노르웨이숲,4,AC완속,부산광역시,북구,부산광역시 북구 구포동 낙동북로 737 ,시설 상황에 따라 이용이 제한될 수 있음,35.1961752229541,129.002949307881
한국전력,구포유림노르웨이숲,5,AC완속,부산광역시,북구,부산광역시 북구 구포동 낙동북로 737 ,시설 상황에 따라 이용이 제한될 수 있음,35.1961752229541,129.002949307881
한국전력,금곡주공3단지,1,DC차데모+AC3상+DC콤보,부산광역시,북구,부산광역시 북구 금곡동 효열로220번길 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.2645788964271,129.021859138241
한국전력,금곡주공3단지,2,AC완속,부산광역시,북구,부산광역시 북구 금곡동 효열로220번길 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.2645788964271,129.021859138241
한국전력,금곡주공3단지,3,AC완속,부산광역시,북구,부산광역시 북구 금곡동 효열로220번길 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.2645788964271,129.021859138241
한국전력,금정산쌍용예가1차 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,금정구,부산광역시 금정구 장전동 금강로379번길 50,시설 상황에 따라 이용이 제한될 수 있음,35.2426610490447,129.083902999243
한국전력,금정산쌍용예가1차 아파트,2,AC완속,부산광역시,금정구,부산광역시 금정구 장전동 금강로379번길 50,시설 상황에 따라 이용이 제한될 수 있음,35.2426610490447,129.083902999243
한국전력,금정산쌍용예가1차 아파트,3,AC완속,부산광역시,금정구,부산광역시 금정구 장전동 금강로379번길 50,시설 상황에 따라 이용이 제한될 수 있음,35.2426610490447,129.083902999243
한국전력,금정산쌍용예가1차 아파트,4,AC완속,부산광역시,금정구,부산광역시 금정구 장전동 금강로379번길 50,시설 상황에 따라 이용이 제한될 수 있음,35.2426610490447,129.083902999243
한국전력,기장우신네오빌,1,DC차데모+AC3상+DC콤보,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 76 ,시설 상황에 따라 이용이 제한될 수 있음,35.2384171410693,129.223052590003
한국전력,기장우신네오빌,2,AC완속,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 76 ,시설 상황에 따라 이용이 제한될 수 있음,35.2384171410693,129.223052590003
한국전력,기장우신네오빌,3,AC완속,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 76 ,시설 상황에 따라 이용이 제한될 수 있음,35.2384171410693,129.223052590003
한국전력,기장우신네오빌,4,AC완속,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 76 ,시설 상황에 따라 이용이 제한될 수 있음,35.2384171410693,129.223052590003
한국전력,기장지사,2,AC완속,부산광역시,기장군,부산광역시 기장군 기장읍 청강로 24기장지사 사옥 내 주차장,시설 상황에 따라 이용이 제한될 수 있음,35.2344872616734,129.219720603669
한국전력,남부산지사,2,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,3,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,5,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,6,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,7,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,남부산지사,8,AC완속,부산광역시,해운대구,부산광역시 해운대구 해운대해변로113,시설 상황에 따라 이용이 제한될 수 있음,35.1602312561361,129.144744737313
한국전력,다대롯데캐슬블루,1,DC차데모+AC3상+DC콤보,부산광역시,사하구,부산광역시 사하구 다대동 다송로 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.0660759887624,128.982821920306
한국전력,다대롯데캐슬블루,2,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다송로 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.0660759887624,128.982821920306
한국전력,다대롯데캐슬블루,3,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다송로 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.0660759887624,128.982821920306
한국전력,다대롯데캐슬블루,4,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다송로 23 ,시설 상황에 따라 이용이 제한될 수 있음,35.0660759887624,128.982821920306
한국전력,다대현대 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,2,DC차데모+AC3상+DC콤보,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,3,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,4,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,5,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,6,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,7,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,다대현대 아파트,8,AC완속,부산광역시,사하구,부산광역시 사하구 다대동 다대로 473,시설 상황에 따라 이용이 제한될 수 있음,35.0614810237866,128.979312755324
한국전력,당리혜성 아파트,1,DC차데모+AC3상+DC콤보,부산광역시,사하구,부산광역시 사하구 당리동 제석로 127,시설 상황에 따라 이용이 제한될 수 있음,35.1100211924494,128.979450901639
한국전력,당리혜성 아파트,2,AC완속,부산광역시,사하구,부산광역시 사하구 당리동 제석로 127,시설 상황에 따라 이용이 제한될 수 있음,35.1100211924494,128.979450901639
한국전력,대신 롯데캐슬,1,DC차데모+AC3상+DC콤보,부산광역시,서구,부산광역시 서구 서대신동3가 대티로 161 ,시설 상황에 따라 이용이 제한될 수 있음,35.1166687298821,129.010292961723
한국전력,대신 롯데캐슬,2,AC완속,부산광역시,서구,부산광역시 서구 서대신동3가 대티로 161 ,시설 상황에 따라 이용이 제한될 수 있음,35.1166687298821,129.010292961723
한국전력,대신 롯데캐슬,3,AC완속,부산광역시,서구,부산광역시 서구 서대신동3가 대티로 161 ,시설 상황에 따라 이용이 제한될 수 있음,35.1166687298821,129.010292961723
